NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Des Moines, East Passage
State: WA
Stationid: 9446248
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.01
HeightOffsetHigh: * 1.03
TimeOffsetLow: 8
TimeOffsetHigh: 5
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2017/01/28	Sat	11:39 AM	6.6		201		L
2017/01/28	Sat	04:36 PM	10.8		329		H
2017/01/28	Sat	11:27 PM	-1.1		-34		L
2017/01/29	Sun	06:30 AM	12.6		384		H
2017/01/29	Sun	12:15 PM	6.0		183		L
2017/01/29	Sun	05:20 PM	10.8		329		H
2017/01/30	Mon	12:05 AM	-0.8		-24		L
2017/01/30	Mon	07:00 AM	12.8		390		H
2017/01/30	Mon	12:54 PM	5.3		162		L
2017/01/30	Mon	06:07 PM	10.6		323		H
2017/01/31	Tue	12:45 AM	-0.2		-6		L
2017/01/31	Tue	07:32 AM	12.9		393		H
2017/01/31	Tue	01:38 PM	4.6		140		L
2017/01/31	Tue	06:59 PM	10.3		314		H
2017/02/01	Wed	01:26 AM	0.8		24		L
2017/02/01	Wed	08:07 AM	13.0		396		H
2017/02/01	Wed	02:25 PM	3.7		113		L
2017/02/01	Wed	07:58 PM	9.8		299		H
2017/02/02	Thu	02:10 AM	2.1		64		L
2017/02/02	Thu	08:45 AM	12.8		390		H
2017/02/02	Thu	03:18 PM	2.9		88		L
2017/02/02	Thu	09:06 PM	9.4		287		H
2017/02/03	Fri	02:58 AM	3.6		110		L
2017/02/03	Fri	09:26 AM	12.6		384		H
2017/02/03	Fri	04:15 PM	2.1		64		L
2017/02/03	Fri	10:27 PM	9.1		277		H
2017/02/04	Sat	03:56 AM	5.2		158		L
2017/02/04	Sat	10:13 AM	12.3		375		H
2017/02/04	Sat	05:17 PM	1.2		37		L
2017/02/05	Sun	12:06 AM	9.3		283		H
2017/02/05	Sun	05:10 AM	6.5		198		L
2017/02/05	Sun	11:05 AM	12.0		366		H
2017/02/05	Sun	06:20 PM	0.4		12		L
2017/02/06	Mon	01:49 AM	10.0		305		H
2017/02/06	Mon	06:39 AM	7.3		223		L
2017/02/06	Mon	12:04 PM	11.8		360		H
2017/02/06	Mon	07:21 PM	-0.4		-12		L
2017/02/07	Tue	03:04 AM	11.0		335		H
2017/02/07	Tue	08:03 AM	7.4		226		L
2017/02/07	Tue	01:05 PM	11.6		354		H
2017/02/07	Tue	08:17 PM	-1.1		-34		L
2017/02/08	Wed	03:57 AM	11.8		360		H
2017/02/08	Wed	09:10 AM	7.1		216		L
2017/02/08	Wed	02:05 PM	11.6		354		H
2017/02/08	Wed	09:08 PM	-1.5		-46		L
2017/02/09	Thu	04:39 AM	12.3		375		H
2017/02/09	Thu	10:04 AM	6.5		198		L
2017/02/09	Thu	03:01 PM	11.6		354		H
2017/02/09	Thu	09:56 PM	-1.7		-52		L
2017/02/10	Fri	05:16 AM	12.6		384		H
2017/02/10	Fri	10:51 AM	5.9		180		L
2017/02/10	Fri	03:54 PM	11.5		351		H
